         0    1.0000         0
    1.0000         0         0
         0         0    1.0000
    0.7071    0.7071         0
    0.7071         0    0.7071
         0    0.7071    0.7071
   -0.7071         0    0.7071
   -0.7071    0.7071         0
         0    0.7071   -0.7071
    0.3827    0.9239         0
    0.4082    0.8165    0.4082
         0    0.9239    0.3827
    0.9239    0.3827         0
    0.9239         0    0.3827
    0.8165    0.4082    0.4082
    0.4082    0.4082    0.8165
    0.3827         0    0.9239
         0    0.3827    0.9239
   -0.4082    0.8165    0.4082
   -0.3827    0.9239         0
   -0.3827         0    0.9239
   -0.4082    0.4082    0.8165
   -0.8165    0.4082    0.4082
   -0.9239         0    0.3827
   -0.9239    0.3827         0
   -0.4082    0.8165   -0.4082
         0    0.9239   -0.3827
   -0.8165    0.4082   -0.4082
   -0.4082    0.4082   -0.8165
         0    0.3827   -0.9239
    0.4082    0.8165   -0.4082
    0.4082    0.4082   -0.8165
    0.8165    0.4082   -0.4082
    0.1951    0.9808         0
    0.1988    0.9597    0.1988
         0    0.9808    0.1951
    0.5556    0.8315         0
    0.5774    0.7887    0.2113
    0.4046    0.8903    0.2088
    0.2088    0.8903    0.4046
    0.2113    0.7887    0.5774
         0    0.8315    0.5556
    0.8315    0.5556         0
    0.8903    0.4046    0.2088
    0.7887    0.5774    0.2113
    0.9808    0.1951         0
    0.9808         0    0.1951
    0.9597    0.1988    0.1988
    0.8903    0.2088    0.4046
    0.8315         0    0.5556
    0.7887    0.2113    0.5774
    0.5774    0.2113    0.7887
    0.6396    0.4264    0.6396
    0.2113    0.5774    0.7887
    0.4264    0.6396    0.6396
    0.6396    0.6396    0.4264
    0.2088    0.4046    0.8903
         0    0.5556    0.8315
    0.5556         0    0.8315
    0.4046    0.2088    0.8903
    0.1988    0.1988    0.9597
    0.1951         0    0.9808
         0    0.1951    0.9808
   -0.1988    0.9597    0.1988
   -0.1951    0.9808         0
   -0.2113    0.7887    0.5774
   -0.2088    0.8903    0.4046
   -0.4046    0.8903    0.2088
   -0.5774    0.7887    0.2113
   -0.5556    0.8315         0
   -0.2088    0.4046    0.8903
   -0.2113    0.5774    0.7887
   -0.1951         0    0.9808
   -0.1988    0.1988    0.9597
   -0.4046    0.2088    0.8903
   -0.5556         0    0.8315
   -0.5774    0.2113    0.7887
   -0.7887    0.2113    0.5774
   -0.6396    0.4264    0.6396
   -0.7887    0.5774    0.2113
   -0.6396    0.6396    0.4264
   -0.4264    0.6396    0.6396
   -0.8903    0.4046    0.2088
   -0.8315    0.5556         0
   -0.8315         0    0.5556
   -0.8903    0.2088    0.4046
   -0.9597    0.1988    0.1988
   -0.9808         0    0.1951
   -0.9808    0.1951         0
   -0.1988    0.9597   -0.1988
         0    0.9808   -0.1951
   -0.5774    0.7887   -0.2113
   -0.4046    0.8903   -0.2088
   -0.2088    0.8903   -0.4046
   -0.2113    0.7887   -0.5774
         0    0.8315   -0.5556
   -0.8903    0.4046   -0.2088
   -0.7887    0.5774   -0.2113
   -0.9597    0.1988   -0.1988
   -0.8903    0.2088   -0.4046
   -0.7887    0.2113   -0.5774
   -0.5774    0.2113   -0.7887
   -0.6396    0.4264   -0.6396
   -0.2113    0.5774   -0.7887
   -0.4264    0.6396   -0.6396
   -0.6396    0.6396   -0.4264
   -0.2088    0.4046   -0.8903
         0    0.5556   -0.8315
   -0.4046    0.2088   -0.8903
   -0.1988    0.1988   -0.9597
         0    0.1951   -0.9808
    0.1988    0.9597   -0.1988
    0.2113    0.7887   -0.5774
    0.2088    0.8903   -0.4046
    0.4046    0.8903   -0.2088
    0.5774    0.7887   -0.2113
    0.2088    0.4046   -0.8903
    0.2113    0.5774   -0.7887
    0.1988    0.1988   -0.9597
    0.4046    0.2088   -0.8903
    0.5774    0.2113   -0.7887
    0.7887    0.2113   -0.5774
    0.6396    0.4264   -0.6396
    0.7887    0.5774   -0.2113
    0.6396    0.6396   -0.4264
    0.4264    0.6396   -0.6396
    0.8903    0.4046   -0.2088
    0.8903    0.2088   -0.4046
    0.9597    0.1988   -0.1988
